geo,date,deathTot,deathExp
Austria,2020-01-05,1610,1740.71507760512
Austria,2020-01-12,1702,1781.98780487798
Austria,2020-01-19,1797,1744.35144124162
Austria,2020-01-26,1779,1716.89689578708
Austria,2020-02-02,1947,1779.35144124162
Austria,2020-02-09,1680,1799.53325942344
Austria,2020-02-16,1721,1816.53325942344
Austria,2020-02-23,1718,1796.80598669617
Austria,2020-03-01,1768,1784.68658536579
Austria,2020-03-08,1744,1757.08658536579
Austria,2020-03-15,1718,1740.28658536579
Austria,2020-03-22,1836,1666.18658536579
Austria,2020-03-29,1764,1662.78658536579
Austria,2020-04-05,1828,1604.68658536579
Austria,2020-04-12,1793,1586.28658536579
Austria,2020-04-19,1704,1574.38658536579
Austria,2020-04-26,1588,1541.48658536579
Austria,2020-05-03,1480,1522.78658536579
Austria,2020-05-10,1520,1508.38658536579
Austria,2020-05-17,1488,1494.38658536579
Austria,2020-05-24,1481,1497.38658536579
Austria,2020-05-31,1414,1477.48658536579
Austria,2020-06-07,1490,1491.28658536579
Austria,2020-06-14,1460,1473.78658536579
Austria,2020-06-21,1413,1500.48658536579
Austria,2020-06-28,1436,1478.88658536579
Austria,2020-07-05,1560,1507.98658536579
Austria,2020-07-12,1383,1467.98658536579
Austria,2020-07-19,1443,1486.08658536579
Austria,2020-07-26,1449,1510.28658536579
Austria,2020-08-02,1521,1514.48658536579
Austria,2020-08-09,1426,1481.78658536579
Austria,2020-08-16,1599,1474.68658536579
Austria,2020-08-23,1459,1495.68658536579
Austria,2020-08-30,1485,1446.58658536579
Austria,2020-09-06,1535,1455.48658536579
Belgium,2020-01-05,2300,2340.36968085179
Belgium,2020-01-12,2356,2392.8696808513
Belgium,2020-01-19,2270,2321.1196808513
Belgium,2020-01-26,2209,2330.3696808513
Belgium,2020-02-02,2345,2482.8696808513
Belgium,2020-02-09,2191,2404.1196808513
Belgium,2020-02-16,2250,2411.8696808513
Belgium,2020-02-23,2352,2402.6196808513
Belgium,2020-03-01,2222,2511.15957446834
Belgium,2020-03-08,2181,2432.15957446834
Belgium,2020-03-15,2264,2300.826241135
Belgium,2020-03-22,2712,2229.15957446834
Belgium,2020-03-29,3435,2123.49290780167
Belgium,2020-04-05,4127,2032.826241135
Belgium,2020-04-12,4199,1970.49290780167
Belgium,2020-04-19,3537,1960.15957446834
Belgium,2020-04-26,2858,1950.15957446834
Belgium,2020-05-03,2327,1920.826241135
Belgium,2020-05-10,2305,1937.82624113501
Belgium,2020-05-17,1993,1944.49290780167
Belgium,2020-05-24,2069,1885.15957446834
Belgium,2020-05-31,1921,1922.826241135
Belgium,2020-06-07,1786,1781.826241135
Belgium,2020-06-14,1930,1749.82624113501
Belgium,2020-06-21,1787,1872.49290780167
Belgium,2020-06-28,1919,1855.49290780167
Belgium,2020-07-05,1724,1884.15957446834
Belgium,2020-07-12,1674,1754.826241135
Belgium,2020-07-19,1854,1829.49290780167
Belgium,2020-07-26,1838,2031.15957446834
Belgium,2020-08-02,1918,1895.49290780167
Brazil,2020-01-05,23672,22066
Brazil,2020-01-12,22758,20970
Brazil,2020-01-19,22418,21986
Brazil,2020-01-26,22183,22056
Brazil,2020-02-02,22480,21896
Brazil,2020-02-09,22459,21558
Brazil,2020-02-16,22209,21140
Brazil,2020-02-23,22542,21118
Brazil,2020-03-01,22841,21932
Brazil,2020-03-08,23126,22063
Brazil,2020-03-15,23855,22642
Brazil,2020-03-22,24584,22340
Brazil,2020-03-29,23774,21412
Brazil,2020-04-05,24117,21818
Brazil,2020-04-12,24564,22414
Brazil,2020-04-19,25417,22683
Brazil,2020-04-26,28393,23326
Brazil,2020-05-03,31310,23154
Brazil,2020-05-10,32813,23578
Brazil,2020-05-17,33091,23679
Brazil,2020-05-24,32110,24407
Brazil,2020-05-31,31722,24955
Brazil,2020-06-07,31371,25195
Brazil,2020-06-14,30519,25466
Brazil,2020-06-21,29424,24958
Brazil,2020-06-28,28953,24983
Brazil,2020-07-05,29319,24801
Brazil,2020-07-12,30020,25906
Brazil,2020-07-19,30243,25976
Brazil,2020-07-26,29607,24905
Brazil,2020-08-02,28586,24518
Brazil,2020-08-09,28494,24702
Brazil,2020-08-16,27807,24483
United Kingdom,2020-01-05,16020,15959.2510637954
United Kingdom,2020-01-12,14723,15003.5843971285
United Kingdom,2020-01-19,13429,14346.5843971283
United Kingdom,2020-01-26,13123,13794.4177304615
United Kingdom,2020-02-02,12534,13328.4177304616
United Kingdom,2020-02-09,12412,13190.4177304613
United Kingdom,2020-02-16,12300,12907.0843971285
United Kingdom,2020-02-23,12334,12631.417730462
United Kingdom,2020-03-01,12415,13149.1012765539
United Kingdom,2020-03-08,12541,12697.901276554
United Kingdom,2020-03-15,12112,12330.1012765543
United Kingdom,2020-03-22,12507,11405.3012765537
United Kingdom,2020-03-29,18565,11453.9012765541
United Kingdom,2020-04-05,20929,11960.9012765538
United Kingdom,2020-04-12,24691,11970.7012765537
United Kingdom,2020-04-19,24303,11955.901276554
United Kingdom,2020-04-26,20059,11606.5012765543
United Kingdom,2020-05-03,14428,10597.5012765538
United Kingdom,2020-05-10,16390,11697.5012765541
United Kingdom,2020-05-17,13839,11346.7012765542
United Kingdom,2020-05-24,11268,9822.5012765538
United Kingdom,2020-05-31,12106,10927.9012765541
United Kingdom,2020-06-07,11302,10828.1012765542
United Kingdom,2020-06-14,11294,10724.301276554
United Kingdom,2020-06-21,10282,10632.3012765539
United Kingdom,2020-06-28,10412,10515.3012765541
United Kingdom,2020-07-05,9941,10479.1012765539
United Kingdom,2020-07-12,10096,10364.5012765541
United Kingdom,2020-07-19,10159,10347.7012765538
United Kingdom,2020-07-26,10262,10348.5012765543
United Kingdom,2020-08-02,10236,10361.9012765538
United Kingdom,2020-08-09,10592,10397.301276554
United Kingdom,2020-08-16,10990,10376.501276554
United Kingdom,2020-08-23,10364,9771.10127655388
United Kingdom,2020-08-30,9023,10146.101276554
Chile,2020-01-05,2143,2019.61063218395
Chile,2020-01-12,2095,1965.94396551726
Chile,2020-01-19,2013,1959.61063218396
Chile,2020-01-26,2019,1999.44396551725
Chile,2020-02-02,1951,1987.44396551726
Chile,2020-02-09,1989,1977.94396551728
Chile,2020-02-16,1917,1912.77729885062
Chile,2020-02-23,1811,1930.77729885063
Chile,2020-03-01,1912,1889.7327586208
Chile,2020-03-08,1966,1890.53275862073
Chile,2020-03-15,1924,1896.5327586207
Chile,2020-03-22,1949,1889.33275862079
Chile,2020-03-29,1972,1895.9327586207
Chile,2020-04-05,2057,1970.73275862071
Chile,2020-04-12,2000,1982.13275862082
Chile,2020-04-19,2130,2020.93275862072
Chile,2020-04-26,2119,2073.93275862073
Chile,2020-05-03,2053,2053.93275862075
Chile,2020-05-10,2343,2025.33275862074
Chile,2020-05-17,2501,2123.13275862081
Chile,2020-05-24,2979,2215.73275862081
Chile,2020-05-31,3475,2271.13275862075
Chile,2020-06-07,3845,2310.93275862065
Chile,2020-06-14,4016,2413.93275862076
Chile,2020-06-21,3696,2487.33275862074
Chile,2020-06-28,3444,2481.73275862071
Chile,2020-07-05,3169,2446.73275862071
Chile,2020-07-12,2964,2454.53275862078
Chile,2020-07-19,2753,2444.13275862074
Chile,2020-07-26,2758,2484.13275862076
Chile,2020-08-02,2605,2421.93275862078
Chile,2020-08-09,2475,2380.53275862074
Chile,2020-08-16,2490,2308.93275862071
Chile,2020-08-23,2648,2342.33275862072
Chile,2020-08-30,2450,2271.93275862074
Chile,2020-09-06,2387,2249.13275862077
Chile,2020-09-13,2243,2311.53275862076
Denmark,2020-01-05,1121,1126.83333333328
Denmark,2020-01-12,1156,1152.83333333333
Denmark,2020-01-19,1011,1089.16666666666
Denmark,2020-01-26,1071,1121.33333333332
Denmark,2020-02-02,1090,1152.99999999999
Denmark,2020-02-09,1085,1157.83333333332
Denmark,2020-02-16,1033,1154.83333333332
Denmark,2020-02-23,1019,1146.83333333332
Denmark,2020-03-01,1041,1207.79999999999
Denmark,2020-03-08,1044,1198.39999999999
Denmark,2020-03-15,1102,1170.59999999999
Denmark,2020-03-22,1157,1160.99999999999
Denmark,2020-03-29,1098,1092.59999999999
Denmark,2020-04-05,1181,1083.99999999999
Denmark,2020-04-12,1084,1089.19999999999
Denmark,2020-04-19,1093,1044.59999999999
Denmark,2020-04-26,1084,1007.39999999999
Denmark,2020-05-03,1002,1043.79999999999
Denmark,2020-05-10,1001,1053.19999999999
Denmark,2020-05-17,991,993.599999999993
Denmark,2020-05-24,974,983.199999999993
Denmark,2020-05-31,970,1008.59999999999
Denmark,2020-06-07,938,989.399999999993
Denmark,2020-06-14,1011,992.199999999993
Denmark,2020-06-21,935,982.399999999993
Denmark,2020-06-28,1000,964.799999999993
Denmark,2020-07-05,980,964.199999999994
Denmark,2020-07-12,994,966.999999999993
Denmark,2020-07-19,977,969.399999999993
Denmark,2020-07-26,962,1016.19999999999
Denmark,2020-08-02,954,979.599999999993
Denmark,2020-08-09,1022,979.999999999993
Denmark,2020-08-16,976,956.799999999994
Denmark,2020-08-23,939,998.199999999993
Denmark,2020-08-30,954,962.399999999993
Denmark,2020-09-06,975,955.399999999993
France,2020-01-05,12883,13498.1012931035
France,2020-01-12,12860,13521.7679597701
France,2020-01-19,12326,13105.4346264368
France,2020-01-26,12309,13099.4346264368
France,2020-02-02,12440,13138.4346264368
France,2020-02-09,12138,13096.2679597702
France,2020-02-16,12132,13027.4346264368
France,2020-02-23,11513,12719.4346264369
France,2020-03-01,12039,12928.5215517242
France,2020-03-08,12231,12657.5215517242
France,2020-03-15,12936,12077.9215517242
France,2020-03-22,14213,11898.7215517242
France,2020-03-29,17252,11664.9215517243
France,2020-04-05,18750,11471.9215517242
France,2020-04-12,16864,11312.9215517242
France,2020-04-19,14524,11144.7215517242
France,2020-04-26,12413,10952.3215517242
France,2020-05-03,11133,10913.3215517242
France,2020-05-10,10786,10757.5215517242
France,2020-05-17,10948,10584.5215517242
France,2020-05-24,10878,10612.7215517242
France,2020-05-31,10444,10521.1215517242
France,2020-06-07,10237,10223.3215517242
France,2020-06-14,10433,10222.5215517242
France,2020-06-21,10600,10475.3215517242
France,2020-06-28,10699,10604.5215517242
France,2020-07-05,10075,10745.7215517241
France,2020-07-12,10276,10323.1215517242
France,2020-07-19,10183,10570.5215517242
France,2020-07-26,10507,10525.5215517242
France,2020-08-02,10618,10367.5215517243
France,2020-08-09,11280,10328.1215517242
France,2020-08-16,11018,10101.7215517242
France,2020-08-23,10284,10365.7215517243
France,2020-08-30,10043,10503.9215517242
Germany,2020-01-05,19056,19494.7933333321
Germany,2020-01-12,19558,19879.793333333
Germany,2020-01-19,18926,19626.393333333
Germany,2020-01-26,19301,20061.793333333
Germany,2020-02-02,19718,20443.593333333
Germany,2020-02-09,19061,20390.593333333
Germany,2020-02-16,19403,20690.593333333
Germany,2020-02-23,19031,20924.193333333
Germany,2020-03-01,19625,21831.9916666663
Germany,2020-03-08,19655,21666.9916666663
Germany,2020-03-15,19882,20743.2416666663
Germany,2020-03-22,19347,20047.9916666663
Germany,2020-03-29,20107,19188.9916666663
Germany,2020-04-05,20878,18937.2416666663
Germany,2020-04-12,19821,18306.9916666663
Germany,2020-04-19,19213,17660.9916666663
Germany,2020-04-26,18339,17711.7416666663
Germany,2020-05-03,17691,17306.7416666663
Germany,2020-05-10,17504,17659.2416666663
Germany,2020-05-17,17051,17310.7416666663
Germany,2020-05-24,16949,16932.2416666663
